t_s,t_min,phase,altitude_m,fuel_mass_kg,ullage_volume_m3,tank_pressure_Pa,tank_temperature_K,o2_fraction,inert_flow_mol_s,fuel_burn_kg_s
4163.0,69.38333333333334,cruise,10688.0,8901.099999998485,6.873625000001894,23766.613346278424,220.10042714782236,0.11767575247503932,0.005559915238751507,0.6
4164.0,69.4,cruise,10688.0,8900.499999998485,6.874375000001894,23766.613346278424,220.09884667321367,0.11767649808003712,0.005559547242619832,0.6
4165.0,69.41666666666667,cruise,10688.0,8899.899999998484,6.875125000001894,23766.613346278424,220.09726795468788,0.11767724358896012,0.005559179651079459,0.6
4166.0,69.43333333333334,cruise,10688.0,8899.299999998484,6.875875000001894,23766.613346278424,220.09569099029378,0.11767798900167999,0.005558812463796621,0.6
4167.0,69.45,cruise,10688.0,8898.699999998484,6.876625000001896,23766.613346278424,220.09411577808234,0.11767873431806855,0.005558445680437703,0.6
4168.0,69.46666666666667,cruise,10688.0,8898.099999998483,6.877375000001896,23766.613346278424,220.0925423161067,0.11767947953799775,0.005558079300669287,0.6
4169.0,69.48333333333333,cruise,10688.0,8897.499999998483,6.878125000001896,23766.613346278424,220.09097060242212,0.11768022466133972,0.005557713324158078,0.6
4170.0,69.5,cruise,10688.0,8896.899999998483,6.878875000001896,23766.613346278424,220.0894006350861,0.11768096968796671,0.005557347750571092,0.6
4171.0,69.51666666666667,cruise,10688.0,8896.299999998482,6.879625000001898,23766.613346278424,220.0878324121582,0.1176817146177512,0.0055569825795754434,0.6
4172.0,69.53333333333333,cruise,10688.0,8895.699999998482,6.880375000001898,23766.613346278424,220.08626593170024,0.11768245945056571,0.005556617810838637,0.6
4173.0,69.55,cruise,10688.0,8895.099999998482,6.881125000001898,23766.613346278424,220.08470119177613,0.11768320418628297,0.0055562534440281065,0.6
4174.0,69.56666666666666,cruise,10688.0,8894.499999998481,6.881875000001898,23766.613346278424,220.08313819045193,0.11768394882477583,0.005555889478811657,0.6
4175.0,69.58333333333333,cruise,10688.0,8893.89999999848,6.8826250000019,23766.613346278424,220.08157692579587,0.11768469336591739,0.0055555259148571835,0.6
4176.0,69.6,cruise,10688.0,8893.29999999848,6.8833750000019,23766.613346278424,220.08001739587831,0.11768543780958077,0.005555162751833034,0.6
4177.0,69.61666666666666,cruise,10688.0,8892.69999999848,6.8841250000019,23766.613346278424,220.0784595987718,0.11768618215563932,0.005554799989407461,0.6
4178.0,69.63333333333334,cruise,10688.0,8892.09999999848,6.8848750000019,23766.613346278424,220.07690353255092,0.11768692640396648,0.005554437627249081,0.6
4179.0,69.65,cruise,10688.0,8891.49999999848,6.885625000001902,23766.613346278424,220.07534919529252,0.11768767055443595,0.0055540756650265775,0.6
4180.0,69.66666666666667,cruise,10688.0,8890.899999998479,6.886375000001902,23766.613346278424,220.0737965850755,0.11768841460692142,0.00555371410240906,0.6
4181.0,69.68333333333334,cruise,10688.0,8890.299999998479,6.887125000001902,23766.613346278424,220.07224569998098,0.11768915856129687,0.00555335293906554,0.6
4182.0,69.7,cruise,10688.0,8889.699999998478,6.887875000001902,23766.613346278424,220.0706965380921,0.11768990241743638,0.00555299217466548,0.6
4183.0,69.71666666666667,cruise,10688.0,8889.099999998478,6.888625000001902,23766.613346278424,220.06914909749423,0.11769064617521419,0.005552631808878437,0.6
4184.0,69.73333333333333,cruise,10688.0,8888.499999998478,6.889375000001904,23766.613346278424,220.0676033762748,0.11769138983450464,0.0055522718413742265,0.6
4185.0,69.75,cruise,10688.0,8887.899999998477,6.890125000001904,23766.613346278424,220.0660593725234,0.11769213339518232,0.005551912271822737,0.6
4186.0,69.76666666666667,cruise,10688.0,8887.299999998477,6.890875000001904,23766.613346278424,220.0645170843317,0.11769287685712189,0.005551553099894246,0.6
4187.0,69.78333333333333,cruise,10688.0,8886.699999998476,6.891625000001904,23766.613346278424,220.06297650979354,0.11769362022019815,0.005551194325259079,0.6
4188.0,69.8,cruise,10688.0,8886.099999998476,6.8923750000019055,23766.613346278424,220.06143764700488,0.11769436348428614,0.0055508359475877605,0.6
4189.0,69.81666666666666,cruise,10688.0,8885.499999998476,6.8931250000019055,23766.613346278424,220.05990049406375,0.11769510664926092,0.005550477966551158,0.6
4190.0,69.83333333333333,cruise,10688.0,8884.899999998475,6.893875000001906,23766.613346278424,220.05836504907035,0.11769584971499782,0.00555012038182013,0.6
4191.0,69.85,cruise,10688.0,8884.299999998475,6.894625000001906,23766.613346278424,220.05683131012694,0.11769659268137228,0.005549763193065927,0.6
4192.0,69.86666666666666,cruise,10688.0,8883.699999998475,6.895375000001907,23766.613346278424,220.05529927533792,0.11769733554825987,0.005549406399959954,0.6
4193.0,69.88333333333334,cruise,10688.0,8883.099999998474,6.896125000001907,23766.613346278424,220.05376894280977,0.11769807831553626,0.005549050002173737,0.6
4194.0,69.9,cruise,10688.0,8882.499999998474,6.8968750000019075,23766.613346278424,220.0522403106511,0.1176988209830774,0.005548693999378953,0.6
4195.0,69.91666666666667,cruise,10688.0,8881.899999998474,6.8976250000019075,23766.613346278424,220.0507133769726,0.11769956355075935,0.005548338391247704,0.6
4196.0,69.93333333333334,cruise,10688.0,8881.299999998473,6.898375000001909,23766.613346278424,220.04918813988706,0.11770030601845824,0.005547983177452195,0.6
4197.0,69.95,cruise,10688.0,8880.699999998473,6.899125000001909,23766.613346278424,220.04766459750942,0.11770104838605037,0.005547628357664744,0.6
4198.0,69.96666666666667,cruise,10688.0,8880.099999998472,6.899875000001909,23766.613346278424,220.04614274795662,0.11770179065341228,0.005547273931557855,0.6
4199.0,69.98333333333333,cruise,10688.0,8879.499999998472,6.900625000001909,23766.613346278424,220.0446225893478,0.11770253282042059,0.0055469198988044015,0.6
4200.0,70.0,cruise,10688.0,8878.899999998472,6.901375000001911,23766.613346278424,220.04310411980407,0.11770327488695206,0.005546566259077354,0.6
4201.0,70.01666666666667,cruise,10688.0,8878.299999998471,6.902125000001911,23766.613346278424,220.04158733744873,0.1177040168528836,0.005546213012049861,0.6
4202.0,70.03333333333333,cruise,10688.0,8877.699999998471,6.902875000001911,23766.613346278424,220.0400722404071,0.1177047587180923,0.005545860157395251,0.6
4203.0,70.05,cruise,10688.0,8877.09999999847,6.903625000001911,23766.613346278424,220.03855882680665,0.1177055004824554,0.005545507694787115,0.6
4204.0,70.06666666666666,cruise,10688.0,8876.49999999847,6.904375000001913,23766.613346278424,220.03704709477685,0.11770624214585032,0.005545155623899277,0.6
